40N||1||1||10	Книга родоводу Ісуса Христа, сина Давидового, сина Авраамового.
42N||2||19||18530	Мария ж ховала всї слова сї, роздумуючи в серці своїм.
42N||2||20||18540	І вернулись пастухи, прославляючи та хвалячи Бога за все, що чули й бачили, як казано до них.
42N||2||21||18550	І як сповнилось вісїм днів, щоб обрізати хлопятко, наречено Йому імя Ісус, наречене від ангела, перш ніж зачавсь Він в утробі.
42N||2||22||18560	І, як сповнились дні очищення п по закону Мойсейовому, понесли Його в Єрусалим, поставити перед Господом,
42N||2||23||18570	як написано в законі Господньому: Що всяке мужеське, відчинивши утробу, сьвяте Господеві звати меть ся;
42N||2||24||18580	і принесли жертву, по сказаному в законї Господньому: Пару горлиць або двоє голубенят.
42N||2||25||18590	І ось був чоловік у Єрусалимі ва ймя Симеон; і чоловік сей праведний та побожний сподівавсь потіхи Ізраїлеві; й Дух сьвятий був на йому.
42N||2||26||18600	І було йому сповіщено від Духа сьвятого, що не бачити ме він смерти, перш нїж побачить Христа Господнього.
42N||2||27||18610	І прийшов він Духом у церкву; й, як принесли батько-мати хлопятко Ісуса, щоб зробити їм, що треба, по звичаю законному для Него,
42N||2||28||18620	узяв він Його на руки свої, і благословив Бога, і сказав:
42N||2||29||18630	Нині відпускаєш раба твого, Владико, по глаголу твоєму, з упокоєм:
42N||2||30||18640	бо виділи очі мої спасенне твоє
42N||2||31||18650	що приготовив єси перед лицем усіх людей,
42N||2||32||18660	сьвітло на одкриттє поганам, і славу народа Твого Ізраїля.
42N||2||33||18670	І дивувавсь Йосиф і мати Його тим, що сказано про Него.
42N||2||34||18680	І благословив їх Симеон, і рече до Мариї, матери Його: Ось Сей лежить на паданнє і вставаннє многих в Ізраїлі і на ознаку, проти котрої говорити муть,
42N||2||35||18690	(і тобі самій перейде душу меч,) щоб відкрились многих сердець думки.
42N||2||36||18700	І була Анна пророчиця, дочка Фануїлова, з роду Асирового; ся зістарілась у днях многих, живши з чоловіком сім років од дівування свого;
42N||2||37||18710	і ся вдова до восьмидесяти й чотирох років, що не відходила від церкви, постом та молитвою служила ніч і день.
42N||2||38||18720	І вона тієї ж години прийшовши, оддала хвалу Господеві, й говорила про Него всім, що сподївали ся збавлення в Єрусалимі.
42N||2||39||18730	І, як скінчили все по закону Господньому, вернулись у Галилею, у город свій Назарет.
42N||2||40||18740	Хлопятко ж росло й міцніло духом, сповняючись премудростю; і благодать Божа була на Ньому;,
42N||2||41||18750	І ходили батько-мати Його щороку в Єрусалим у сьвято пасхи.
42N||2||42||18760	І як було Йому дванайцять років, пійшли вони в Єрусалим сьвятковим звичаєм,
42N||2||43||18770	і, сповнивши дні, як вертались, зостав ся хлопчик Ісус у Єрусалимі, й не знав Йосиф і мати Його,
42N||2||44||18780	а думаючи, що Він між товариством, увійшли на день ходи; й шукали Його між родиною та знакомими.
42N||2||45||18790	І, не знайшовши Його, вернулись у Єрусалим, шукаючи Його.
42N||2||46||18800	І сталось, через три дні знайшли Його в церкві, сидячого серед учителїв, і слухаючого їх, і питаючого.
42N||2||47||18810	Дивували ся ж усї, хто, слухав Його, розумом і відповідями Його.
42N||2||48||18820	І, побачивши Його, здивувались вони, й сказала мати Його до Него: Дитино, що се зробив єси з нами? ось батько Твій і я, болїючи, шукали Тебе.
42N||2||49||18830	І рече Він до них: Чого ж шукали мене? хиба ж не знали, що в тому, що єсть Отця мого, треба бути мені?
42N||2||50||18840	Та й вони не зрозуміли слова, що промовив їм,
42N||2||51||18850	І пійшов з ними, й прийшов у Назарет, і був слухняний їм; і мати Його ховала всі слова тиї в серці своїм.
42N||2||52||18860	І виростав Ісус премудростю й станом, у ласцї в Бога і в людей.
42N||3||1||18870	У пятнайцятий же рік правлення Тиверия кесаря, як був ігемоном Понтийський Палат в Юдеї, а четверовластником у Галилеї Ірод, Филип же, брат його, четверовластником в Ітуреї і Трахонській землї, а Лисаний четверовластником в Авилинї,
42N||3||2||18880	за архиєреїв Анни та Каяфи, стало ся слово Боже до Йоана, Захаріїного сина, у пустинї.
42N||3||3||18890	І ходив він по всій околицї Йорданській, проповідуючи хрещеннє покаяння на прощенне гріхів,
42N||3||4||18900	як писано в книзї словес Ісаїї пророка, глаголючого: Голос покликуючого в пустині: Приготовте дорогу Господню, правими робіть стежки Його.
42N||3||5||18910	Всяка долина нехай заповнить ся, і всяка гора і горб принизить ся, і крива нехай буде права, й груднисті нехай будуть дорогами рівними;
42N||3||6||18920	і побачить усяке тіло спасеннє Боже.
42N||3||7||18930	Говорив тодї до людей, що вийшли охреститись від него: Кодло гадюче, хто остеріг вас, щоб утїкали від настигаючого гнїва?
42N||3||8||18940	Принесіть же овощ достойний покаяння, і не починайте казати самі собі: В нас отець Авраам; глаголю бо вам: Що зможе Бог з каміння сього підняти дітей Авраамові.
42N||3||9||18950	Вже ж і сокира коло кореня дерева лежить; тим кожне дерево, що не дає доброго овощу, зрубують та й в огонь кидають.
42N||3||10||18960	І питав його народ, кажучи: Що ж оце робити мем ?
42N||3||11||18970	Озвав ся ж і каже їм: Хто має дві одежинї, нехай наділить немаючого; й хто має харч, нехай так само робить.
42N||3||12||18980	Прийшли ж і митники хреститись, і промовили до него: Учителю, що нам робити?
42N||3||13||18990	Він же каже до них: Нічого більш над те, що звелено вам, не вимагайте.
42N||3||14||19000	Питали ж його й воїни, кажучи: А нам що робити? І рече до них: Нїкому не робіть насилля, анї обвинувачуйте криво, і вдовольняйтесь платою вашою.
42N||3||15||19010	Як же були в непевностї люде, і всі говорили в серці своїм про Йоана, чи не Христос він,
42N||3||16||19020	озвавсь Йоан до всіх, глаголючи: Я водою хрещу вас; ійде ж потужніший від мене, котрому недостоєн я розвязати ременя обувя Його: Той хрестити ме вас Духом сьвятим і огнем;
42N||3||17||19030	котрого лопата в руці Його, й перечистить тік свій, і збере пшеницю в клуню свою, а полову спалить огнем невгасаючим.
42N||3||18||19040	І багато иншого, навчаючи, благовіствував людям.
42N||3||19||19050	Ірод же четверовластник, докорений від него за Іродияду, жінку Филипа, брата свого, і за все, що коїв лихого Ірод,
42N||3||20||19060	додав ще й се до всього, й запер Йоана в темниці.
42N||3||21||19070	Стало ж ся, як хрестились усї люде й Ісус хрестив ся та молив ся, відчинилось небо,
42N||3||22||19080	і злинув Дух сьвятий, у тілесному виді, як голуб, на Него, й голос із неба роздав ся, глаголючи: Ти єси Син мій любий, тебе вподобав я.
42N||3||23||19090	А тому Ісусові починав ся мало не трийцятий рік, і був Він, як думали, син Йосифїв, Ілиїв,
42N||3||24||19100	Маттатів, Левиїн, МелхиЇн, Янаїв, Йосифїв,
42N||3||25||19110	Мататіїв, Амосів, Наумів, Єслимів, Наггеїв,
42N||3||26||19120	Маатів, Мататиїв, Семеїв, Йосифїв, Юдин,
42N||3||27||19130	Йоананів, Рисаїв, Зоровавелів, Салатіїлів, Нириїв,
42N||3||28||19140	Мелхиїв, Адиїв, Косамів, Єлмодамів, Ирів,
42N||3||29||19150	Йосиїв, Єлиєзерів, Йоримів, Маттатів, Левиїн,
42N||3||30||19160	Симеонів, Юдин, Йосифів, Ионанів, Єлиякимів,
42N||3||31||19170	Мелеаїв, Маінанів, Мататаїв, Натанів, Давидів,
42N||3||32||19180	Єсеїв, Овидів, Воозів, Салмонів, Насонів,
42N||3||33||19190	Аминадавів,Арамів, Єсромів, Фаресів, Юдин,
42N||3||34||19200	Яковів, Ісааків, Авраамів, Тарин, Нахорів,
42N||3||35||19210	Сарухів, Рахавів, Фалеків, Єверів, Салин,
42N||3||36||19220	Каінанів, Арфаксадів, Оимів, Ноїв, Ламехів,
42N||3||37||19230	Матусалів, Єнохів, Яредів, Малелейлів, Кайнанів,
42N||3||38||19240	Єносів, Ситів, Адамів, Божий.
42N||4||1||19250	Ісус же, Духа сьвятого повний, вернувсь од Йордану, і був ведений Духом у пустиню,
42N||4||2||19260	і сорок днїв спокушуваний від диявола. І не їв нічого днїв тих, а як скінчились вони, опісля згододнїв.
42N||4||3||19270	І каже Йому диявол: Коли ти Син Божий, скажи каменеві сьому, щоб став ся хлїбом.
42N||4||4||19280	І озвавсь Ісус до него, глаголючи: Писано, що не хлїбом самим житиме чоловік, а кожним словом Божим.
42N||4||5||19290	І вивівши Його диявол на гору високу, показав Йому всї царства вселенної в одну хвилину.
42N||4||6||19300	І каже Йому диявол: Тобі дам власть оцю всю і славу їх, бо мені передано, й кому я схочу, дам її.
42N||4||7||19310	Ти ж коли поклониш ся передо мною, буде твоє все.
42N||4||8||19320	І, озвавшись до него, рече Ісус: Геть від мене, сатано, писано бо: Кланяти меш ся Господеві Богу твоєму, й Йому одному служити меш.
42N||4||9||19330	І повів він Його в Єрусалим, і поставив Його на крилї церковньому, й каже Йому: Коли ти Син Божий, кинь ся звідсіля вниз:
42N||4||10||19340	писано бо: Що ангелам своїм накаже про Тебе, оберегати Тебе,
42N||4||11||19350	і що на руках підіймуть Тебе, щоб инколи не вдаривсь об каміні, ногою Твоєю.
42N||4||12||19360	І озвавшись рече йому Ісус: Що сказано: Не будеш спокутувати Господа Бога твого.
42N||4||13||19370	І скінчивши всї спокуси, диявол одійшов од Него до часу.
42N||4||14||19380	І вернувсь Ісус у силї Духа в Галилею; і поголос розійшов ся по всїй околиці про Него,
42N||4||15||19390	І навчав Він по школах їх, славлений од усіх.
42N||4||16||19400	І прийшов у Назарет, де був зрощений, і прийшов звичаєм своїм, субітнього дня в школу, і став читати.
42N||4||17||19410	І подано Йому книгу Ісаії пророка. І, розгорнувши книгу, знайшов місце, де було написано:
42N||4||18||19420	Дух Господень на менї, котрого ради намастив мене; благовістити вбогим післав мене, сцїляти розбитих серцем, проповідувати полонянам визвіл і слїпим прозріннє, випускати замучених на волю,
42N||4||19||19430	проповідувати рік Господень приятний.
42N||4||20||19440	І, згорнувши книгу, віддав слузї, та й сїв. І очі всіх у школї були звернені на Него.
42N||4||21||19450	Почав же глаголати до них: Що сьогодні справдилось писаннє се в ушах ваших.
42N||4||22||19460	І всї сьвідкували Йому, й дивувались благодатнїми словами, виходячими з уст Його. І казали: Хиба сей не син Йосифів?
42N||4||23||19470	І рече до них: Певно скажете менї приповість оцю: Лїкарю, вилїчи себе самого; про що ми чули, що сталось у Капернаумі, зроби й тут у своїй країні.
42N||4||24||19480	Рече ж: Істино глаголю вам: Що нї один пророк не єсть приятен в отчинї своїй.
42N||4||25||19490	По правді ж глаголю вам: Багато вдовиць було за днїв Ілиї в Ізраїлї, як зачинилось небо на три роки й шість місяців, і голоднеча велика стала по всїй землі;
42N||4||26||19500	та й до жодної з них не послано Ілиї, тільки в Сарепту Сидонську до жінки вдовиці.
42N||4||27||19510	І багато прокаженних було за Єлисея пророка в Ізраїлї, та й жоден з них не очистивсь, тільки Неєман Сириянин.
42N||4||28||19520	І сповнились усї лютостю в школї, почувши се,
42N||4||29||19530	і вставши вигнали Його геть із города, і випровадили Його аж на верх гори, на котрій город їх збудовано, щоб скинути Його.
42N||4||30||19540	Він же, пройшовши серед них, пійшов,
42N||4||31||19550	і прийшов у Капернаум, город Галилейський, і навчав їх по суботам.
42N||4||32||19560	І дивувались вони наукою Його, бо з властю було слово Його.
42N||4||33||19570	І був у школі чоловїк, маючи духа нечистого, й кричав голосом великим,
42N||4||34||19580	кажучи: Остав; що нам і Тобі, Ісусе Назарянине? чи прийшов єси вигубити нас? Я знаю Тебе, хто єси: Сьвятий Божий.
42N||4||35||19590	І погрозив йому Ісус, глаголючи: Мовчи й вийди з него. І кинувши ним диявол на середину, вийшов з него, нічого не зашкодивши йому.
42N||4||36||19600	І обняв страх усіх, і говорили один до одного, кажучи: Що се за слово, що властю і силою повелівав нечистим духам, і виходять?
42N||4||37||19610	І розійшов ся поголос про Него скрізь по всій околицї.
42N||4||38||19620	Уставши ж Він із школи, ввійшов у господу Симонову. Тещу ж Симонову схопила пропасниця велика, й благали Його за неї.
42N||4||39||19630	І, ставши над нею, погрозив пропасниці, і покинула її; зараз же уставши, послугувала їм.
42N||4||40||19640	Як же заходило сонце, всї, в кого були недужі на всякі недуги, приводили їх до Него; Він же, на кожного з них руки складаючи, сцїляв їх.
42N||4||41||19650	Виходили ж і біси з многих, і кричали, кажучи: Що Ти єси Христос, Син Божий. І грозячи, не давав їм говорити, бо вони знали, що Він Христос.
42N||4||42||19660	Як же настав день, вийшовши пійшов у пусте місце; й люде шукали Його, й прийшли до Него, й вдержували Його, щоб не йшов від них.
42N||4||43||19670	Він же рече до них: Що й иншим городям благовістити менї треба царство Боже; бо на се я посланий.
42N||4||44||19680	і проповідував по школах галилейських.
42N||5||1||19690	І сталось, як народ товпивсь до Него слухати слово Боже, Він стояв коло озера Генисарецького.
42N||5||2||19700	І побачив два човни, що стояли край озера, рибалки ж, одійшовши від них, полоскали неводи.
42N||5||3||19710	Ввійшовши ж ув один з човнів, що був Симонів, просив його від землі відчалити трохи. І сівши, навчав народ із човна.
42N||5||4||19720	Як же перестав глаголати, рече до Симона: Поступи на глибінь, та закиньте неводи ваші на ловитву.
42N||5||5||19730	І озвавшись Симон, каже Йому: Наставниче, всю ніч трудившись, нїчого не піймали ми; тільки ж, по слову Твоєму, закину невода.
42N||5||6||19740	І, се зробивши, вловили пребагато риби; роздер ся ж невід їх,
42N||5||7||19750	і махнули вони на товаришів своїх, що були в другому човні, щоб прийшли помогти їм. І прийшли вони, й сповнили обидва човни, так що потопали вони.
42N||5||8||19760	Бачивши ж Симон Петр, припав до колїн Ісусових, кажучи: Йди від мене: бо я чоловік грішний. Господи.
42N||5||9||19770	Страх бо обняв його і всіх із ним од улову риби, що вловили.
42N||5||10||19780	Так само й Якова і Йоана, синів Зеведеєвих, що були спільниками Симоновими. І рече до Симона Ісус: Не лякай ся, від нині людей ловити меш.
42N||5||11||19790	І пригнавши вони човни свої до берега, та покинувши все, пійшли слідом за Ним.
42N||5||12||19800	І сталось, як був Він ув однім городі, аж ось чоловік увесь у проказі. І, побачивши Ісуса, упавши на лице, благав Його, кажучи; Господи, коли хочеш, можеш мене очистити.
42N||5||13||19810	І простягши Він руку, приторкнувсь до него, глаголючи: Хочу, очистись. І зараз проказа покинула його.
42N||5||14||19820	І наказав Він йому нікому не говорити, а, пійшовши, покажи себе священикові та принеси за очищеннє твоє, як звелїв Мойсей, на сьвідкуваннє їм.
42N||5||15||19830	Та слово про Него розійшлось тим більш, і насходилось народу пребагато слухати й сцїлятись у Него від недуг своїх.
42N||5||16||19840	Він же виходив у пустиню та молив ся.
42N||5||17||19850	І сталось одного дня, що Він учив, і сиділи Фарисеї та учителї закону, що; поприходили з усіх сїл Галилейських та Юдейських і з Єрусалиму, й сила Господня була на сцїленнє їх.
42N||5||18||19860	І ось мужі принесли на постелї чоловіка, що був розслаблений, і шукали, як би внести його та положити перед Ним.
42N||5||19||19870	І, не знайшовши, як би внести його кріз натовп, вилїзли на хату, й кріз черепяну стелю спустили його з постїллю в середину перед Ісуса.
42N||5||20||19880	І, бачивши віру їх, рече йому: Чоловіче, оставляють ся тобі гріхи твої.
42N||5||21||19890	І почали міркувати письменники та Фарисеї, кажучи: Хто сей, що говорить хулу? Хто може оставляти гріхи, як тільки один Бог?
42N||5||22||19900	Постерігши ж Ісус думки їх і озвавшись, рече до них: Що ви говорите в серцях ваших?
42N||5||23||19910	Що легше? сказати: Оставляють ся тобі гріхи твої; або сказати: Встань та й ходи?
42N||5||24||19920	От же, щоб знали ви, що власть має Син чоловічий на землі оставляти гріхи,
42N||5||24||19930	розслабленому:) Тобі глаголю: Устань, і, взявши постїль твою, йди до дому твого.
42N||5||25||19940	І зараз уставши перед ними й узявши на чому лежав, пійшов до дому свого, прославляючи Бога.
42N||5||26||19950	І острах обняв усїх, і прославляли Бога, й сповнили ся страхом, кажучи: Що бачили предивне сьогодні.
42N||5||27||19960	А після сього вийшов, і побачив митника на ймя Левію, сидячого на митниці, і рече йому: Йди слідом за мною.
42N||5||28||19970	І, зоставивши все, уставши пійшов слїдом за Ним.
42N||5||29||19980	і справив гостину велику Левій Йому у господі своїй, і було там багато митників і инших, що свдїли з ними.
42N||5||30||19990	І нарікали письменники їх та Фарисеї на учеників Його, кажучи: На що з митниками та грішниками їсте й пете?
42N||5||31||20000	І озвавшись Ісус, рече до них: Не треба здоровому лікаря, а перу жому.
42N||5||32||20010	Не прийшов я кликати праведників, а грішників до покаяння.
42N||5||33||20020	Вони, ж казали до Него: Чого ж ученики Йоанові постять часто й молять ся, так само й Фарисейські, Твої ж їдять і пють?
42N||5||34||20030	Він же рече до них: Чи зможете синів весільних, поки жених з ними, заставити постити ?
42N||5||35||20040	Прийдуть же днї, що візьмуть жениха від них, тоді постити муть у ті дні.
42N||5||36||20050	Сказав же й приповість до них; Що ніхто латки з одежини нової не пришиває до одежини старої; коли ж нї, то й нову розідре, й старій не личить латка з нового.
42N||5||37||20060	І ніхто не наливав вина нового в бурдюки старі; коли ж ні, порве нове вино бурдюки, й вино витече, й бурдюки пропадуть.
42N||5||38||20070	А вино нове в бурдюки нові наливають, то й буде все ціле.
42N||5||39||20080	Ніхто, пивши старе, не бажав зараз нового; каже бо: Старе лучче.
42N||6||1||20090	І сталось другої суботи після першої, ійшов Він через засїви, й рвали ученики  Його колоссє, та й їли, потерши в руках.
42N||6||2||20100	Деякі ж з Фарисеїв казали їм: На що робите, чого не годить ся робити в суботу?
42N||6||3||20110	І, озвавшись до них, рече Ісус: Хиба й того не читали, що зробив Давид, як зголоднів він і тї, що були з ним:
42N||6||4||20120	як, увійшовши вій у дом Божий, хлїби показні взяв і їв, і дав також тим, що були з ним, котрих не годилось їсти, хиба одним священикам?
42N||6||5||20130	І рече їм: Син чоловічий - Вів Господь і суботи.
42N||6||6||20140	І сталось також другої суботи: ввійшов Він у школу та й навчав; а був там чоловік, що рука в него права була суха.
42N||6||7||20150	Назирали ж Його письменники та Фарисеї, чи в суботу сцїляти ме, щоб знайти вину на Него.
42N||6||8||20160	Він же знав думки їх, і рече чоловіку сухорукому: Устань і стань на середину. Він же, вставши, стояв.
42N||6||9||20170	Рече ж Ісус до них: Спитаю вас: Що годить ся по суботам: добре робити, чи лихе робити? душу спасати, чи погубляти?
42N||6||10||20180	І, споглянувши кругом по всіх їх, рече чоловікові: Простягни руку твою. Він же зробив так, і стала рука його здорова, як і друга.
42N||6||11||20190	Вони ж сповнились лютостю і говорили один до одного, що б зробити Ісусові.
42N||6||12||20200	Стало ж ся тими днями, вийшов Він на гору молитись, і був усю ніч на молитві Богу.
42N||6||13||20210	А, як настав день, покликав учеників своїх; і, вибравши з них дванайцятьох, котрих і апостолами назвав:
42N||6||14||20220	Симона, що назвав Петром, та Андрея брата його. Якова та Йоана, Филипа та Вартоломея,
42N||6||15||20230	Маттея та Тому, Якова Алфєєвого та Симона, на прізвище Зилота,
42N||6||16||20240	Юду Якового та Юду Іскариоцького, що й став ся зрадником;
42N||6||17||20250	і зійшовши з ними, став на місці рівному, й товариство учеників Його, і множество велике людей з усієї Юдеї і Єрусалиму, й з побережжя Тирського та Сидонського, що поприходили слухати Його і сцїлятися від недуг своїх,
42N||6||18||20260	і мучені від духів нечистих; і спїляли ся.
42N||6||19||20270	І ввесь народ шукав приторкнутись до Него: бо сила від Него виходила, й сцїляла всіх.
42N||6||20||20280	І знявши Він очі свої на ученики свої, рече: Блаженні вбогі, бо ваше царство Боже.
42N||6||21||20290	Блаженні голодні тепер, бо насититесь. Блаженні плачущі тепер, бо сьміяти метесь.
42N||6||22||20300	Блаженні, коли ненавидіти муть вас люде, й коли проженуть вас, і осоромлять, і викинуть імя ваше, яв зло, задля Сина чоловічого.
42N||6||23||20310	Радуйтесь того дня і веселїтесь, ось бо нагорода ваша велика на небі; так бо чинили пророкам батьки їх.
42N||6||24||20320	Горе ж вам, багатим І бо прийняли ви утіху вашу.
42N||6||25||20330	Горе вам, ситим! бо голодувати мете. Горе вам, що сьмієтесь тепер; бо сумувати мете да плакати мете.
42N||6||26||20340	Горе вам, коли добре говорити муть про вас усї люде; так бо робили лжепророкам батьки їх.
42N||6||27||20350	Тільки ж глаголю вам, слухаючим: Любіть ворогів ваших, добре робіть ненавидникам вашим,
42N||6||28||20360	благословляйте кленучих вас, і моліть ся за обидників ваших.
42N||6||29||20370	Хто бв тебе у щоку, підстав і другу; а хто бере твою свиту, й жупанка не борони.
42N||6||30||20380	Всякому, хто просить у тебе, дай, і хто бере що твоє, не доповняй ея.
42N||6||31||20390	І, як хочете, щоб чинили вам люде, так і ви чинїть їм.
42N||6||32||20400	І коли любите тих, хто любить. вас, яка вам дяка? бо й грішники тих, хто їх любить, люблять.
42N||6||33||20410	І коли добро робите тим, хто добро робить вам, яка вам дяка? бо й грішники те саме чинять.
42N||6||34||20420	І коли позичаєте тим, від кого маєте надію одержати, яка вам дяка? бо й грішники грішникам позичають, щоб одержати стільки ж.
42N||6||35||20430	Нї, любіть ворогів ваших, і добро робіть, і позичайте, нічого від них не сподіваючись; а буде нагорода ваша велика, й будете синами Вишнього; бо Він благий до невдячних і лихих.
42N||6||36||20440	Будьте ж оце милосердні, як і Отець ваш милосерден.
42N||6||37||20450	І не судіть, то й не будете суджені; не осуджуйте, то й не будете осуджені; прощайте, то й буде вам прощено.
42N||6||38||20460	Давайте, то й вам буде дано; міру добру, наталовану, й струснуту, й надто пересипану давати муть вам на лоно ваше. Такою бо мірою, якою міряєте, відміряєть ся вам.
42N||6||39||20470	Сказав же приповість їм: Чи може слїпий сліпого водити? хиба обидва в яму не впадуть ?
42N||6||40||20480	Нема ученика над учителя свого; звершений же - буде кожен, як учитель його.
42N||6||41||20490	Чого ж дивиш ся на порошину в оці брата твого, полїна ж у своєму оці не чуєш?
42N||6||42||20500	І як можеш казати братові твоєму: Брате, дай вийму порошину, що в оцї твоїм, сам в оці своїм полїна не бачивши? Лицеміре, викинь перше ломаку з ока твого, а тодї бачити меш вийняти порошину з ока брата твого.
42N||6||43||20510	Нема бо дерева доброго, що родить овощ пустий; анї дерева пустого, що родить овощ добрий.
42N||6||44||20520	Кожне бо дерево по свому овощу пізнаєть ся; не збирають бо з тернини смокви, анї збирають з ожини винограду.
42N||6||45||20530	Добрий чоловік з доброго скарбу серця свого виносить добре; а лихий чоловік з лихого скарбу серця свого виносить лихе: бо з переповнї серця промовляють уста його.
42N||6||46||20540	На що ж мене звете Господи, Господи, й не робите, що я глаголю?
42N||6||47||20550	Всякий, хто приходить до мене, й слухає слова мої, та й чинить їх, покажу вам, кому він подобен:
42N||6||48||20560	подобен він чоловікові, будуючому будинок, що викопав глибоко, й положив підвалину на каменї; як же повідь настала, наперла бистрінь на будинок той, та не змогла схитнути його: збудовано бо його на каменї.
42N||6||49||20570	Хто ж слухає, та не чинить, подобен чоловікові, будуючому будинок на землї, без підвалини, на котрий наперла бистрінь, і зараз упав, і була руїна будинка того велика.
42N||7||1||20580	Як же скінчив усї глаголи свої в слух людям, увійшов у Капернаум.
42N||7||2||20590	В одного ж сотника слуга недугуючи мав умирати, котрий був йому дорогий
42N||7||3||20600	Почувши ж про Ісуса, післав до Него старших Жидівських, благаючи Його, щоб, прийшовши, спас слугу його.
42N||7||4||20610	Вони ж, прийшовши до Ісуса, благали Його пильно, говорячи: Що достоєн він, щоб йому зробив се:
42N||7||5||20620	любить бо нарід наш, і шкоду він збудував нам.
42N||7||6||20630	Ісус же пійшов з ними. І як вже він недалеко був од будинка, вислав до Него сотник другів, говорячи Йому: Господи, не трудись, бо я недостоєн, щоб Ти під стелю мою ввійшов;
42N||7||7||20640	тим і себе не вважав достойним до Тебе прийти; тільки промов слово, то й одужає слуга мій.
42N||7||8||20650	Бо й я чоловік під властю поставлений, маючи під собою воїнів; і скажу сьому: Йди, то й іде, а другому: Прийди, то й прийде, а слузї моєму: Роби оце, то й зробить.
42N||7||9||20660	Почувши ж се Ісус, дивувавсь йому, й, обернувшись до йдучого за собою народу, рече: Глаголю вам: Навіть в Ізраїлі, такої віри не знайшов я.
42N||7||10||20670	І вернувшись послані у будинок, знайшли недужнього слугу здоровим.
42N||7||11||20680	І сталось опісля, ійшов Він у город, званий Наш, і йшло з Ним доволї учеників Його, й багато народу.
42N||7||12||20690	Як же наближився до городських воріт, аж ось винесено мертвого, сина єдиного в матері своєї, вона ж була вдова; й багато народу з городу було з нею.
42N||7||13||20700	І побачивши її Господь, змилосердивсь над нею, і рече їй: Не плач.
42N||7||14||20710	І приступивши, приторкнув ся до мар; ті ж, що несли, з'упинились. І рече: Молодче, тобі глаголю: встань.
42N||7||15||20720	І сїв мерлець, і почав говорити. І оддав його матері його.
42N||7||16||20730	Обняв же страх усїх; і прославляли вони Бога, кажучи: Що пророк великий устав між нами, й навідав Бог людей своїх.
42N||7||17||20740	І розійшлось слово се по всїй Юдеї про Него й по всїй околицї.
42N||7||18||20750	І сповістили Йоана ученики його про все те.
42N||7||19||20760	І покликавши двох ученикїв своїх Йоан, післав до Ісуса, кажучи: Ти єси грядущий, чи иншого ждати нам?
42N||7||20||20770	Прийшовши ж до Него чоловіки, казали: Йоан Хреститель прислав нас до Тебе, кажучи: Ти єси грядущий, чи иншого ждати нам ?
42N||7||21||20780	Того ж часу сцїляв Він многих від недуг і ран, і духів лихих, і многим слїпим давав прозрїнне.
42N||7||22||20790	І озвавшись Ісус, рече їм: Ідїть сповістіть Йоана, що бачили й чули: як слїпі прозирають, криві ходять, прокаженні очищають ся, глухі чують, мертві встають, і вбогі благовіствують.
42N||7||23||20800	І блажен, хто де зблазнить ся мною.
42N||7||24||20810	Як же пійшли посланці Йоанові, почав глаголати до народу про Йоана: Чого виходили ви дивитись у пустиню? На тростину, що вітер колише?
42N||7||25||20820	Або чого ж виходили їй дивитись? На чоловіка, в мягку одежу одягненого? Ось ті, що в одежі пишній та роскоші, панують у царських дворах.
42N||7||26||20830	Або чого виходили ви дивитись: На пророка? Так, глаголю вам, і більш пророка.
42N||7||27||20840	Се той, про кого написано: Ось я досилаю ангела мого перед лицем Твоїм, що приготовить дорогу Твою перед Тобою.
42N||7||28||20850	Глаголю бо вам: Більшого між нарожденими від жінок пророка над Йоана Хрестителя нема; найменший же у царстві Божім більший від него.
42N||7||29||20860	І ввесь народ слухаючий, і митники, справдили Бога, хрестившись хрещеннем Йоановим.
42N||7||30||20870	Фарисеї ж та законники раду Божу про них відкинули, не хрестившись від него.
42N||7||31||20880	Рече ж Господь: Кому ж оце уподоблю людей роду сього? й кому подобні вони?
42N||7||32||20890	Подобні вони дітям, що сидять на торгу та гукають одно на одного, та й  кажуть: Ми сурмили вам, а ви не скакали; ми голосили вам, а ви не плакали.
42N||7||33||20900	Прийшов бо Йоан Хреститель, що хлїба не їсть, анї вина не пє, і кажете: Диявола мав.
42N||7||34||20910	Прийшов Син чоловічий, що їсть і пє, і кажете: Ось чоловік прожора та пяниця, митникам друг і грішникам.
42N||7||35||20920	І справдилась премудрість од дітей своїх усїх.
42N||7||36||20930	Просив же хтось Його з Фарисеїв, щоб їв з ним. І, ввійшовши з господу Фарисееву, сїв за столом.
