40N||1||1||10	LIBRO de la generacion de Jesu-Cristo, hijo de David, hijo de Abraham.
40N||19||11||6290	Entónces él les dijo: No todos reciben esta palabra, sino [aquellos] á quienes es dado. 
40N||19||12||6300	Porque hay eunucos, que nacieron así del vientre de su madre; y hay eunucos, que son hechos eunucos por los hombres; y hay eunucos, que se hicieron á sí mismos eunucos por causa del reino de los cielos: el que pueda ser capaz de eso, sé alo. 
40N||19||13||6310	Entónces le fueron presentados unos niños, para que pusiese las manos sobre ellos, y orase: y los discípulos les riñeron. 
40N||19||14||6320	Y Jesus dijo: Dejad á los niños, y no les impidais de venir á mí: porque de los tales es el reino de los cielos. 
40N||19||15||6330	Y habiendo puesto sobre ellos las manos, se partió de allí. 
40N||19||16||6340	Y hé aquí uno llegándose le dijo: Maestro bueno, ¿que bien haré, para tener la vida eterna? 
40N||19||17||6350	Y él le dijo: ¿Por qué me llamas bueno? Ninguno [es] bueno sino uno, [es á saber,] Dios: y si quieres entrar en la vida, guarda los mandamientos. 
40N||19||18||6360	Dícele: ¿Cuáles? Y Jesus dijo: No matarás: No adulterarás: No hurtarás: No dirás falso testimonio: 
40N||19||19||6370	Honra á tu padre y á [tu] madre: y, Amarás á tu projimo como á tí mismo. 
40N||19||20||6380	Dícele el mancebo: Todo esto guardé desde mi juventud: ¿qué más me falta? 
40N||19||21||6390	Dícele Jesus: Si quieres ser perfecto, anda, vende lo que tienes, y dá[lo] á los pobres; y tendrás tesoro en el cielo; y ven, sígueme. 
40N||19||22||6400	Y oyendo el mancebo esta palabra, se fué triste; porque tenia muchas posesiones. 
40N||19||23||6410	Entónces Jesus dijo á sus discípulos: De cierto os digo, que un rico difícilmente entrará en el reino de los cielos. 
40N||19||24||6420	Mas os digo, que más liviano trabajo es pasar un camello por el ojo de una aguja, que entrar un rico en el reino de Dios. 
40N||19||25||6430	Mas sus discípulos, oyendo [estas cosas,] se espantaron en gran manera, diciendo: ¿Quién pues podrá ser salvo? 
40N||19||26||6440	Y mirándo[los] Jesus, les dijo: Para con los hombres imposible es esto; mas para con Dios, todo es posible. 
40N||19||27||6450	Entónces respondiendo Pedro, le dijo: Hé aquí, nosotros hemos dejado todo, y te hemos seguido: ¿qué pues tendrémos? 
40N||19||28||6460	Y Jesus les dijo: De cierto os digo, que vosotros que me habeis seguido, en la regeneracion, cuando se sentará el Hijo del hombre en el trono de su gloria, vosotros tambien os sentaréis sobre doce tronos, para juzgar á las doce tribus de Israel. 
40N||19||29||6470	Y cualquiera que dejare casas, ó hermanos, ó hermanas, ó padre, ó madre, ó mujer, ó hijos, ó tierras, por mi nombre, recibirá cien veces tanto, y heredará la vida eterna. 
40N||19||30||6480	Mas muchos primeros serán postreros; y postreros, primeros.
40N||20||1||6490	PORQUE el reino de los cielos es semejante á un hombre, padre de familia, que salió por la mañana á ajustar obreros para su viña.
40N||20||2||6500	Y habiéndose concertado con los obreros en un denario al dia, los envió á su viña.
40N||20||3||6510	Y saliendo cerca de la hora de las tres, vió otros que estaban en la plaza ociosos;
40N||20||4||6520	Y les dijo: Id tambien vosotros á mi viña, y os daré lo que fuere justo. Y ellos fueron.
40N||20||5||6530	Salió otra vez cerca de las horas sexta y nona, é hizo lo mismo.
40N||20||6||6540	Y saliendo cerca de la hora undécima, halló otros que estaban ociosos y díceles: ¿Por qué estais aquí todo el dia ociosos?
40N||20||7||6550	Dícenle: Porque nadie nos ha ajustado. Díceles: Id tambien vosotros á la viña, y recibiréis lo que fuere justo.
40N||20||8||6560	Y cuando fué la tarde del dia, el señor de la viña dijo á su mayordomo: Llama los obreros, y págales el jornal, comenzando desde los postreros hasta los primeros.
40N||20||9||6570	Y viniendo los que [habian ido] cerca de la hora undécima, recibieron cada uno un denario. 
40N||20||10||6580	Y viniendo tambien los primeros, pensaron que habian de recibir más; pero tambien ellos recibieron cada uno un denario. 
40N||20||11||6590	Y tomándo[lo], murmuraban contra el padre de la familia, 
40N||20||12||6600	Diciendo: Estos postreros solo han trabajado una hora, y los has hecho iguales á nosotros, que hemos llevado la carga y el calor del dia. 
40N||20||13||6610	Y él respondiendo dijo á uno de ellos: Amigo, no te hago agravio: ¿no te concertaste conmigo por un denario? 
40N||20||14||6620	Toma lo que es tuyo, y véte: mas quiero dar á este postrero como á tí. 
40N||20||15||6630	¿No me es lícito á mí hacer lo que quiero con lo mio? ó ¿es malo tu ojo, porque yo soy bueno? 
40N||20||16||6640	Así los primeros serán postreros, y los postreros primeros: porque muchos son llamados, mas pocos escogidos. 
40N||20||17||6650	Y subiendo Jesus á Jerusalem, tornó sus doce discípulos aparte en el camino, y les dijo: 
40N||20||18||6660	Hé aquí subimos á Jerusalem, y el Hijo del hombre será entregado á los príncipes de los sacerdotes, y á los escribas, y le condenarán á muerte; 
40N||20||19||6670	Y le entregarán á los Gentiles, para que [le] escarnezcan, y azoten, y crucifiquen: mas al tercero dia resucitará. 
40N||20||20||6680	Entónces se llegó á él la madre de los hijos de Zebedéo, con sus hijos, adorándo[le], y pidiéndole algo. 
40N||20||21||6690	Y él le dijo: ¿Qué quieres? Ella le dijo: Dí que se sienten estos dos hijos mios, el uno á tu mano derecha, y el otro á tu izquierda, en tu reino. 
40N||20||22||6700	Entónces Jesus respondiendo, dijo: No sabeis lo que pedís: ¿podeis beber el vaso que yo he de beber; y ser bautizados del mismo bautismo de que yo soy bautizado? Ellos le dicen: Podemos. 
40N||20||23||6710	Y él les dice: A la verdad mi vaso bebereis; y del bautismo de que yo soy bautizado, seréis bautizados, mas el sentaros á mi mano derecha, y á mi izquierda, no es mio dar[lo,] sino á aquellos para quienes está aparejado de mi Padre. 
40N||20||24||6720	Y como los diez oyeron [esto,] se enojaron de los dos hermanos. 
40N||20||25||6730	Entónces Jesus llamándolos, dijo: Sabeis que los príncipes de los Gentiles se enseñorean sobre ellos, y los que son grandes ejercen sobre ellos potestad. 
40N||20||26||6740	Mas entre vosotros no será así: sino el que quisiere entre vosotros hacerse grande, será vuestro servidor; 
40N||20||27||6750	Y el que quisiere entre vosotros ser el primero, será vuestro siervo: 
40N||20||28||6760	Como el Hijo del hombre no vino para ser servido, sino para servir, y para dar su vida en rescate por muchos. 
40N||20||29||6770	Entónces saliendo ellos de Jericó, le seguia gran compañía. 
40N||20||30||6780	Y hé aquí dos ciegos sentados junto al camino, como oyeron que Jesus pasaba, clamaron diciendo: Señor, Hijo de David, ten misericordia de nosotros. 
40N||20||31||6790	Y la gente les reñia, para que callasen; mas ellos clamaban mas, diciendo: Señor, Hijo de David, ten misericordia de nosotros. 
40N||20||32||6800	Y parándose Jesus, los llama, y dijo: ¿Qué quereis que haga por vosotros? 
40N||20||33||6810	Ellos le dicen: Señor, que sean abiertos nuestros ojos. 
40N||20||34||6820	Entónces Jesus, teniendo misericordia [de ellos,] les tocó los ojos, y luego sus ojos recibieron la vista: y le siguieron.
40N||21||1||6830	Y COMO se acercaron á Jerusalem, y vinieron á Bethfage, al monte de las Olivas, entónces Jesus envió dos discípulos,
40N||21||2||6840	Diciéndoles: Id á la aldéa que está delante de vosotros, y luego hallaréis una asna atada, y un pollino con ella; desatad[la,] y traédme[los.]
40N||21||3||6850	Y si alguno os dijere algo, decid: El Señor los ha menester. Y luego los dejará.
40N||21||4||6860	Y todo esto fué hecho, para que se cumpliese lo que fué dicho por el profeta, que dijo:
40N||21||5||6870	Decid á la hija de Sion: Hé aquí tu Rey viene á tí manso, y sentado sobre una asna, y [sobre] un pollino hijo de animal de yugo.
40N||21||6||6880	Y los discípulos fueron, é hicieron como Jesus les mando.
40N||21||7||6890	Y trajeron la asna, y el pollino, y pusieron sobre ellos sus mantos; y se sentó sobre ellos.
40N||21||8||6900	Y la compañía, [que era] muy numerosa, tendia sus mantos en el camino; y otros cortaban ramos de los árboles, y los tendian por el camino.
40N||21||9||6910	Y las gentes que iban delante, y las que iban detrás, aclamaban diciendo: Hosanna al Hijo de David; bendito el que viene en el nombre del Señor: Hosanna en las alturas. 
40N||21||10||6920	Y entrando él en Jerusalem, toda la ciudad se alborotó, diciendo: ¿Quién es este? 
40N||21||11||6930	Y las gentes decian: Este es Jesus el profeta, de Nazaret de Galiléa. 
40N||21||12||6940	Y entró Jesus en el templo de Dios, echó fuera todos los que vendian y compraban en el templo, y trastornó las mesas de los cambiadores, y las sillas de los que vendian palomas; 
40N||21||13||6950	Y les dice: Escrito esta: Mi casa, casa de oracion será llamada; mas vosotros cueva de ladrones la habeis hecho. 
40N||21||14||6960	Entónces vinieron á él ciegos y cojos en el templo, y los sanó. 
40N||21||15||6970	Mas los príncipes de los sacerdotes y los escribas, viendo las maravillas que hacia, y los muchachos aclamando en el templo, y diciendo: ¡Hosanna al Hijo de David! se indignaron, 
40N||21||16||6980	Y le dijeron: ¿Oyes lo que estos dicen? Y Jesus les dice: Sí ¿nunca leisteis: De la boca de los niños, y de los que maman perfeccionaste la alabanza? 
40N||21||17||6990	Y dejándolos, se salió fuera de la ciudad á Bethania; y posó allí. 
40N||21||18||7000	Y por la mañana volviendo á la ciudad, tuvo hambre. 
40N||21||19||7010	Y viendo una higuera cerca del camino, vino á ella, y no halló nada en ella, sino hojas solamente; y le dijo: Nunca más para siempre nazca de tí fruto. Y luego se seco la higuera. 
40N||21||20||7020	Y viendo [esto] los discípulos, maravillados decian: ¡Cómo se secó luego la higuera! 
40N||21||21||7030	Y respondiendo Jesus, les dijo: De cierto os digo, que si tuviereis fé, y no dudareis, no solo haréis esto de la higuera, mas si á este monte dijereis: Quítate, y échate en la mar; será hecho. 
40N||21||22||7040	Y todo lo que pidiereis en oracion, creyendo, [lo] recibiréis. 
40N||21||23||7050	Y como vino al templo, llegaron á él, cuando estaba enseñando, los príncipes de los sacerdotes, y los ancianos del pueblo, diciendo: ¿Con qué autoridad haces esto? y ¿quién te dió esta autoridad? 
40N||21||24||7060	Y respondiendo Jesus, les dijo: Yo tambien os preguntaré una palabra, la cual si me dijereis, tambien yo os diré con qué autoridad hago esto. 
40N||21||25||7070	El bautismo de Juan ¿de dónde era? ¿del cielo, ó de los hombres? Ellos entónces pensaron entre sí, diciendo: Si dijéremos: Del cielo; nos dirá: ¿Por qué pues no le creísteis? 
40N||21||26||7080	Y si dijéremos: De los hombres; tememos al pueblo; porque todos tienen á Juan por profeta. 
40N||21||27||7090	Y respondiendo á Jesus dijeron: No sabemos. Y él tambien les dijo: Ni yo os digo con que autoridad hago esto. 
40N||21||28||7100	Mas ¿qué os parece? Un hombre tenia dos hijos, y llegando al primero, le dijo: Hijo, ve hoy á trabajar en mi viña. 
40N||21||29||7110	Y respondiendo él, dijo: No quiero, Mas despues arrepentido, fué. 
40N||21||30||7120	Y llegando al otro, [le] dijo de la misma manera: y respondiendo él, dijo: Yo señor, [voy.] Y no fué. 
40N||21||31||7130	¿Cuál de los dos hizo la voluntad del padre? Dicen ellos: El primero. Díceles Jesus: De cierto os digo, que los publicanos y las rameras os van delante al reino de Dios; 
40N||21||32||7140	Porque vino á vosotros Juan en camino de justicia, y no le creisteis; y los publicanos y las rameras le creyeron: y vosotros viendo [esto,] no os arrepentísteis despues para creerle. 
40N||21||33||7150	Oid otra parábola: Fué un hombre, padre de familia, el cual plantó una viña, y la cercó de vallado, y cavó en ella un lagar; y edificó una torre, y la dió á renta á labradores, y se partió léjos. 
40N||21||34||7160	Y cuando se acercó el tiempo de los frutos, envió sus siervos á los labradores, para que recibiesen sus frutos. 
40N||21||35||7170	Mas los labradores, tomando los siervos, al uno hirieron, y al otro mataron, y al otro apedrearon. 
40N||21||36||7180	Envió de nuevo otros siervos, mas que los primeros, é hicieron con ellos de la misma manera. 
40N||21||37||7190	Y á la postre les envió su hijo, diciendo: Tendrán respeto á mi hijo. 
40N||21||38||7200	Mas los labradores, viendo al hijo dijeron entre sí: Este es el heredero, venid, matémosle, y tomemos su heredad. 
40N||21||39||7210	Y tomado, le echaron fuera de la viña, y le mataron. 
40N||21||40||7220	Pues cuando viniere el señor de la viña, ¿qué hará á aquellos labradores? 
40N||21||41||7230	Dícenle: A los malos destruirá miserablemente, y su viña dará á renta á otros labradores, que le paguen el fruto á sus tiempos. 
40N||21||42||7240	Díceles Jesus: ¿Nunca leisteis en las escrituras: La piedra que desecharon los que edificaban, esta fué hecha por cabeza de esquina: por el Señor es hecho esto, y es cosa maravillosa en nuestros ojos? 
40N||21||43||7250	Por tanto os digo, que el reino de Dios será quitado de vosotros, y será dado á gente que haga los frutos de él. 
40N||21||44||7260	Y el que cayere sobre esta piedra, será quebrantado; y sobre quien ella cayere, le desmenuzará. 
40N||21||45||7270	Y oyendo los príncipes de los sacerdotes y los Fariséos sus parábolas, entendieron que hablaba de ellos. 
40N||21||46||7280	Y buscando como echarle mano, temieron al pueblo; porque le tenian por profeta.
40N||22||1||7290	Y RESPONDIENDO Jesus, les volvió á hablar en parábolas, diciendo:
40N||22||2||7300	El reino de los cielos es semejante á un hombre rey, que hizo bodas á su hijo:
40N||22||3||7310	Y envió sus siervos para que llamasen los llamados á las bodas; mas no quisieron venir.
40N||22||4||7320	Volvió á enviar otros siervos, diciendo: Decid á los llamados: Hé aquí, mi comida he aparejado; mis toros, y animales engordados [son] muertos, y todo [está] prevenido: venid á las bodas.
40N||22||5||7330	Mas ellos no se cuidaron, y se fueron; uno á su labranza, y otro á sus negocios;
40N||22||6||7340	Y otros, tomando sus siervos, [los] afrentaron, y [los] mataron.
40N||22||7||7350	Y el rey, oyendo [esto,] se enojó; y enviando sus ejércitos, destruyó á aquellos homicidas, y puso fuego á su ciudad.
40N||22||8||7360	Entónces dice á sus siervos: las bodas á la verdad están aparejadas; mas los que eran llamados no eran dignos.
40N||22||9||7370	Id pues á las salidas de los caminos, y llamad á las bodas á cuantos hallareis. 
40N||22||10||7380	Y saliendo los siervos por los caminos, juntaron á todos los que hallaron, juntamente malos y buenos; y las bodas fueron llenas de convidados. 
40N||22||11||7390	Y entró el rey para ver los convidados, y vió allí un hombre no vestido de boda. 
40N||22||12||7400	Y le dijo: Amigo, ¿cómo entraste acá no teniendo vestido de boda? Mas él cerró la boca. 
40N||22||13||7410	Entónces el rey dijo á los que servian: Atado de piés y de manos tomadle y echadle en las tinieblas de afuera; ahí será el lloro, y el crujir de dientes. 
40N||22||14||7420	Porque muchos son llamados, y pocos escogidos. 
40N||22||15||7430	Entónces idos los Fariséos, consultaron como le tomarian en [alguna] palabra. 
40N||22||16||7440	Y envian á él los discípulos de ellos con los Herodianos, diciendo: Maestro, sabemos que eres amador de verdad, y [que] enseñas con verdad el camino de Dios, y [que] no te curas de nadie, por que no tienes acepcion de persona de hombres. 
40N||22||17||7450	Dínos pues, ¿qué te parece? ¿es lícito dar tributo á César, ó no? 
40N||22||18||7460	Mas Jesus, entendida la malicia de ellos, [les] dice: ¿Por qué me tentais, hipócritas? 
40N||22||19||7470	Mostradme la moneda del tributo. Y ellos le presentaron un denario. 
40N||22||20||7480	Entónces les dice: ¿Cuya [es] esta figura, y lo que está encima escrito? 
40N||22||21||7490	Dícenle: De César. Y díceles: Pagad, pues, á César lo [que es] de César, y á Dios lo [que es] de Dios. 
40N||22||22||7500	Y oyendo [esto] se maravillaron, y dejándole se fueron. 
40N||22||23||7510	Aquel dia llegaron á él los Saducéos, que dicen no haber resurreccion, y le preguntaron, 
40N||22||24||7520	Diciendo: Maestro, Moisés dijo: Si alguno muriere sin hijos, su hermano se casará con su mujer, y despertará simiente á su hermano. 
40N||22||25||7530	Fueron pues entre nosotros siete hermanos: y el primero tomó mujer, y murió; y no teniendo generacion, dejó su mujer á su hermano. 
40N||22||26||7540	De la misma manera tambien el segundo, y el tercero, hasta los siete. 
40N||22||27||7550	Y despues de todos murió tambien la mujer. 
40N||22||28||7560	En la resurreccion, pues, ¿de cuál de los siete sera ella mujer? porque todos la tuvieron. 
40N||22||29||7570	Entónces, respondiendo Jesus, les dijo: Errais, ignorando las escrituras, y la potencia de Dios. 
40N||22||30||7580	Porque en la resurreccion, ni los hombres tomarán mujeres, ni las mujeres maridos; mas son como los ángeles de Dios en el cielo. 
40N||22||31||7590	Y de la resurreccion de los muertos, ¿no habeis leido lo que os es dicho por Dios, que dice: 
40N||22||32||7600	Yo soy el Dios de Abraham, y el Dios de Isaac, y el Dios de Jacob? Dios no es Dios de muertos, sino de vivos. 
40N||22||33||7610	Y oyendo [esto] las gentes, estaban atónitas de su doctrina. 
40N||22||34||7620	Entónces los Fariséos, oyendo que habia cerrado la boca á los Saducéos, se juntaron á una; 
40N||22||35||7630	Y preguntó uno de ellos, intérprete de la ley, tentándole, y diciendo: 
40N||22||36||7640	Maestro, ¿cuál [es] el mandamiento grande en la ley? 
40N||22||37||7650	Y Jesus le dijo: Amarás al Señor tu Dios de todo tu corazon, y de toda tu alma, y de toda tu mente. 
40N||22||38||7660	Este es el primero y el grande mandamiento. 
40N||22||39||7670	Y el segundo [es] semejante á este: Amarás á tu prójimo como á tí mismo. 
40N||22||40||7680	De estos dos mandamientos depende toda la ley, y los profetas. 
40N||22||41||7690	Y estando juntos los Fariséos, Jesus les preguntó, 
40N||22||42||7700	Diciendo: ¿Qué os parece del Cristo? ¿de quién es Hijo? Dícenle: De David. 
40N||22||43||7710	El les dice: ¿Pues cómo David en Espíritu le llama Señor, diciendo: 
40N||22||44||7720	Dijo el Señor á mi Señor: Siéntate á mi diestra, entretanto que pongo tus enemigos por estrado de tus piés? 
40N||22||45||7730	Pues si David le llama Señor, ¿cómo es su Hijo? 
40N||22||46||7740	Y nadie le podia responder palabra; ni osó alguno desde aquel dia preguntarle más.
40N||23||1||7750	ENTÓNCES habló Jesus á las gentes, y á sus discípulos,
40N||23||2||7760	Diciendo: Sobre la cátedra de Moisés se sentaron los escribas y los Fariséos;
40N||23||3||7770	Así que todo lo que os dijeren que guardais, guardad[lo] y haced[lo;] mas no hagais conforme á sus obras: porque dicen y no hacen.
40N||23||4||7780	Porque atan cargas pesadas, y difíciles de llevar, y [las] ponen sobre los hombros de los hombres; mas ni aun con su dedo las quieren mover.
40N||23||5||7790	Antes todas sus obras hacen para ser mirados de los hombres: porque ensanchan sus filacterias, y extienden los flecos de sus mantos;
40N||23||6||7800	Y aman los primeros asientos en las cenas, y las primeras sillas en las sinagogas;
40N||23||7||7810	Y las salutaciones en las plazas, y ser llamados de los hombres: Rabí, Rabí.
40N||23||8||7820	Mas vosotros, no querais ser llamados Rabí; porque uno es vuestro Maestro, el Cristo, y todos vosotros sois hermanos.
40N||23||9||7830	Y vuestro padre no llameis [á nadie] en la tierra; porque uno es vuestro Padre, el cual [está] en los cielos. 
40N||23||10||7840	Ni seais llamados maestros: porque uno es vuestro Maestro, el Cristo. 
40N||23||11||7850	El que es el mayor de vosotros, sea vuestro siervo. 
40N||23||12||7860	Porque el que se ensalzare, será humillado; y el que se humillare, será ensalzado. 
40N||23||13||7870	Mas ¡ay de vosotros, escribas y Fariséos, hipócritas! porque cerrais el reino de los cielos delante de los hombres; que ni vosotros entrais, ni á los que están entrando dejais entrar 
40N||23||14||7880	¡Ay de vosotros, escribas y Fariséos hipócritas! porque comeis las casas de las viudas, y por pretexto haceis larga oracion: por esto llevaréis más grave juicio. 
40N||23||15||7890	¡Ay de vosotros, escribas y Fariséos, hipócritas! porque rodeais la mar y la tierra por hacer un prosélito; y cuando fuere hecho, le haceis hijo del infierno doble más que vosotros. 
40N||23||16||7900	¡Ay de vosotros, guias ciegos! que decís: Cualquiera que jurare por el templo, es nada; mas cualquiera que jurare por el oro del templo, deudor es. 
40N||23||17||7910	Insensatos, y ciegos; porque ¿cuál es mayor, el oro, ó el templo, que santifica al oro? 
40N||23||18||7920	Y: Cualquiera que jurare por el altar, es nada; mas cualquiera que jurare por el Presente que [está] sobre él, deudor es. 
40N||23||19||7930	Necios y ciegos: porque, ¿cuál es mayor, el Presente, ó el altar, que santifica al Presente? 
40N||23||20||7940	Pues el que jurare por el altar, jura por él, y por todo lo que [está] sobre él.  
40N||23||21||7950	Y el que jurare por el templo, jura por él, y por Aquel que habita en él. 
40N||23||22||7960	Y el que jurare por el cielo, jura por el trono de Dios, y por Aquel que está sentado sobre él. 
40N||23||23||7970	¡Ay de vosotros, escribas y Fariséos, hipócritas! porque diezmais la menta, y el eneldo, y el comino, y dejásteis lo que es lo más grave de la ley, [es á saber,] el juicio, y la misericordia, y la fé : esto era menester hacer, y no dejar lo otro. 
40N||23||24||7980	Guias ciegos, que colais el mosquito, mas tragais el camello. 
40N||23||25||7990	¡Ay de vosotros, escribas y Fariséos, hipócritas! porque limpiais lo [que está] de fuera del vaso, y del plato; mas de dentro están llenos de robo y de injusticia. 
40N||23||26||8000	Fariséo ciego, limpia primero lo [que está] dentro del vaso y del plato, para que tambien lo [que está] fuera se haga limpio. 
40N||23||27||8010	¡Ay de vosotros, escribas y Fariséos, hipócritas! porque sois semejantes á sepulcros blanqueados; que de fuera, á la verdad, se muestran hermosos, mas de dentro están llenos de huesos de muertos, y de toda suciedad. 
40N||23||28||8020	Así tambien vosotros, de fuera, á la verdad, os mostrais justos á los hombres, mas de dentro, llenos estais de hipocresía é iniquidad. 
40N||23||29||8030	¡Ay de vosotros, escribas y Fariséos, hipócritas! porque edificais los sepulcros de los profetas, y adornais los monumentos de los justos; 
40N||23||30||8040	Y decís: Si fuéramos en los dias de nuestros padres, no hubiéramos sido sus compañeros en la sangre de los profetas: 
40N||23||31||8050	Así que testimonio dais á vosotros mismos, que sois hijos de aquellos que mataron á los profetas. 
40N||23||32||8060	Vosotros tambien henchid la medida de vuestros padres. 
40N||23||33||8070	Serpientes, generacion de víboras ¿cómo evitaréis el juicio del infierno? 
40N||23||34||8080	Por tanto hé aquí, yo envio á vosotros profetas, y sabios, y escribas; y de ellos [á unos] mataréis y crucificaréis, y [á otros] de ellos azotaréis en vuestras sinagogas, y perseguiréis de ciudad en ciudad: 
40N||23||35||8090	Para que venga sobre vosotros toda la sangre justa que se ha derramado sobre la tierra, desde la sangre de Abel el justo, hasta la sangre de Zacarías, hijo de Barachías, al cual matásteis entre el templo y el altar. 
40N||23||36||8100	De cierto os digo, que todo esto vendrá sobre esta generacion. 
40N||23||37||8110	Jerusalem, Jerusalem, que matas á los profetas, y apedreas á los que son enviados á tí; ¡cuántas veces quise juntar tus hijos, como la gallina junta sus pollos debajo de las alas, y no quisisteis. 
40N||23||38||8120	Hé aquí vuestra casa os es dejada desierta. 
40N||23||39||8130	Porque os digo, que desde ahora no me veréis, hasta que digais: Bendito el que viene en el nombre del Señor.
40N||24||1||8140	Y SALIDO Jesus, íbase del templo: y se llegaron sus discípulos, para mostrarle los edificios del templo.
40N||24||2||8150	Y respondiendo él, les dijo: ¿Veis todo esto, de cierto os digo, que no será dejada aquí piedra sobre piedra, que no sea destruida.
40N||24||3||8160	Y sentándose él en el monte de las Olivas, se llegaron á él [sus] discípulos aparte, diciendo: Dínos, cuándo serán estas cosas, y qué señal [habrá] de tu venida, y del fin del mundo?
40N||24||4||8170	Y respondiendo Jesus, les dijo: Mirad que nadie os engañe.
40N||24||5||8180	Porque vendrán muchos en mi nombre, diciendo: Yo soy el Cristo y á muchos engañaran.
40N||24||6||8190	Y oiréis guerras, y rumores de guerras: mirad [que] no os turbeis; porque es menester que todo [esto] acontezca; mas aun no es el fin.
40N||24||7||8200	Porque se levantará nacion contra nacion, y reino contra reino: y habrá pestilencias, y hambres, y terremotos por los lugares.
40N||24||8||8210	Y todas estas cosas, principio de dolores.
40N||24||9||8220	Entónces os entregarán para ser afligidos, y os matarán: y seréis aborrecidos de todas las gentes por causa de mi nombre. 
40N||24||10||8230	Y muchos entónces serán escandalizados; y se entregarán unos á otros, y unos á otros se aborrecerán. 
40N||24||11||8240	Y muchos falsos profetas se levantarán, y engañarán á muchos. 
40N||24||12||8250	Y por haberse multiplicado la maldad, la caridad de muchos se resfriará. 
40N||24||13||8260	Mas el que perseverare hasta el fin, este será salvo. 
40N||24||14||8270	Y será predicado este Evangelio del reino en todo el mundo, por testimonio á todos los Gentiles; y entónces vendrá el fin. 
40N||24||15||8280	Por tanto cuando viereis la abominacion del asolamiento, que fué dicha por Daniel profeta, que estará en el lugar santo, (el que lee, entienda.) 
40N||24||16||8290	Entónces los que [están] en Judéa, huyan á los montes; 
40N||24||17||8300	Y el que sobre el terrado, no descienda á tomar algo de su casa; 
40N||24||18||8310	Y el que en el campo, no vuelva atrás á tomar sus vestidos. 
40N||24||19||8320	Mas ¡ay de las preñadas, y de las que crian en aquellos dias! 
40N||24||20||8330	Orad pues que vuestra huida no sea en invierno, ni en Sábado. 
40N||24||21||8340	Porque habrá entónces grande afliccion, cual no fué desde el principio del mundo hasta ahora, ni será. 
40N||24||22||8350	Y si aquellos dias no fuesen acortados, ninguna carne seria salva: mas por causa de los escogidos, aquellos dias serán acortados. 
40N||24||23||8360	Entónces si alguno os dijere: Hé aquí [está] el Cristo, ó allí; no creais. 
40N||24||24||8370	Porque se levantaran falsos Cristos, y falsos profetas, y darán señales grandes y prodigios; de tal manera que engañarán, si [es] posible, aun á los escogidos. 
40N||24||25||8380	Hé aquí os [lo] he dicho ántes. 
40N||24||26||8390	Así que si os dijeren: Hé aquí en el desierto está; no salgais: Hé aquí en las cámaras; no creais. 
40N||24||27||8400	Porque como el relámpago que sale del Oriente, y se muestra hasta el Occidente, así será tambien la venida del Hijo del hombre. 
40N||24||28||8410	Porque donde quiera que estuviere el cuerpo muerto, allí se juntarán las águilas. 
40N||24||29||8420	Y luego despues de la afliccion de aquellos dias, el sol se oscurecerá, y la luna no dará su lumbre, y las estrellas caerán del cielo, y las virtudes de los cielos serán conmovidas. 
40N||24||30||8430	Y entónces se mostrará la señal del Hijo del hombre en el cielo; y entónces lamentarán todas las tribus de la tierra, y verán al Hijo del hombre que vendrá sobre las nubes del cielo, con grande poder y gloria. 
40N||24||31||8440	Y enviará sus ángeles con gran voz de trompeta, y juntarán sus escogidos de los cuatro vientos, de un cabo del cielo hasta el otro. 
40N||24||32||8450	De la higuera aprended la parábola: Cuando ya su rama se enternece, y las hojas brotan, sabeis que el verano [está] cerca. 
40N||24||33||8460	Así tambien vosotros, cuando viereis todas estas cosas, sabed que está cercano, á las puertas. 
40N||24||34||8470	De cierto os digo, [que] no pasará esta generacion, que todas estas cosas no acontezcan. 
40N||24||35||8480	El cielo y la tierra pasarán, mas mis palabras no pasarán. 
40N||24||36||8490	Empero del dia y hora nadie sabe, ni aun los ángeles de los cielos, sino mi Padre solo. 
40N||24||37||8500	Mas como los dias de Noé, así será la venida del Hijo del hombre. 
40N||24||38||8510	Porque como en los dias ántes del diluvio estaban comiendo y bebiendo, casándose y dando en casamiento, hasta el dia que Noé entro en el arca, 
40N||24||39||8520	Y no conocieron hasta que vino el diluvio, y llevó á todos, así será tambien la venida del Hijo del hombre. 
40N||24||40||8530	Entónces estarán dos en el campo; el uno será tomado, y el otro será dejado: 
40N||24||41||8540	Dos mujeres moliendo á un molinillo; la una será tomada, y la otra será dejada. 
40N||24||42||8550	Velad pues; porque no sabeis á que hora ha de venir vuestro Señor. 
40N||24||43||8560	Esto empero sabed que si el padre de la familia supiese á cual vela el ladron habia de venir, velaria, y no dejaria minar su casa. 
40N||24||44||8570	Por tanto tambien vosotros estad apercibidos; porque el Hijo del hombre ha de venir á la hora que no pensais. 
40N||24||45||8580	¿Quién pues es el siervo fiel y prudente, al cual puso su Señor sobre su familia, para que les dé alimento á tiempo? 
40N||24||46||8590	Bienaventurado aquel siervo, al cual, cuando su Señor viniere, le hallare haciendo así. 
40N||24||47||8600	De cierto os digo, que sobre todos sus bienes le pondrá. 
40N||24||48||8610	Y si aquel siervo malo dijere en su corazon: Mi Señor se tarda en venir; 
40N||24||49||8620	Y comenzare á herir [sus] consiervos, y aun á comer y á beber con los borrachos; 
